Asset Type,Date,Usage Time,Last Maintenance Date,Stock Level,Reorder Point,Equipment Status,Usage Pattern
PPE Kit,1/15/2022,6,1/15/2022,3,7,Operational,As needed
Heart Monitor,1/15/2022,8,1/15/2022,5,3,Operational,As needed
Surgical Gloves,1/15/2022,7,1/15/2022,4,2,Operational,As needed
X-Ray Machine,1/15/2022,8,1/15/2022,5,3,Operational,As needed
PPE Kit,1/16/2022,8,1/16/2022,5,3,Operational,As needed
Surgical Gloves,1/16/2022,12,1/16/2022,9,4,Operational,As needed
Heart Monitor,1/16/2022,8,1/16/2022,5,3,Operational,As needed
X-Ray Machine,1/16/2022,8,1/16/2022,5,3,Operational,As needed
Anesthesia Machine,1/16/2022,8,1/16/2022,5,3,Operational,As needed
Anesthesia Machine,1/17/2022,8,1/17/2022,5,3,Operational,As needed
X-Ray Machine,1/17/2022,8,1/17/2022,5,3,Operational,As needed
Surgical Gloves,1/17/2022,11,1/17/2022,8,7,Operational,As needed
PPE Kit,1/17/2022,5,1/17/2022,2,5,Operational,As needed
Heart Monitor,1/17/2022,8,1/17/2022,5,3,Operational,As needed
PPE Kit,1/18/2022,8,1/18/2022,5,1,Operational,As needed
Surgical Gloves,1/18/2022,7,1/18/2022,4,3,Operational,As needed
Heart Monitor,1/18/2022,8,1/18/2022,5,3,Operational,As needed
X-Ray Machine,1/18/2022,8,1/18/2022,5,3,Operational,As needed
Anesthesia Machine,1/18/2022,8,1/18/2022,5,3,Operational,As needed
Anesthesia Machine,1/19/2022,8,1/19/2022,5,3,Operational,As needed
Surgical Gloves,1/19/2022,8,1/19/2022,5,8,Operational,As needed
Heart Monitor,1/19/2022,8,1/19/2022,5,3,Operational,As needed
PPE Kit,1/19/2022,6,1/19/2022,3,6,Operational,As needed
X-Ray Machine,1/19/2022,8,1/19/2022,5,3,Operational,As needed
PPE Kit,1/20/2022,11,1/20/2022,8,5,Operational,As needed
Surgical Gloves,1/20/2022,8,1/20/2022,5,1,Operational,As needed
Heart Monitor,1/20/2022,8,1/20/2022,5,3,Operational,As needed
X-Ray Machine,1/20/2022,8,1/20/2022,5,3,Operational,As needed
Anesthesia Machine,1/20/2022,8,1/20/2022,5,3,Operational,As needed
PPE Kit,1/21/2022,12,1/21/2022,9,3,Operational,As needed
Surgical Gloves,1/21/2022,8,1/21/2022,5,6,Operational,As needed
Heart Monitor,1/21/2022,8,1/21/2022,5,3,Operational,As needed
X-Ray Machine,1/21/2022,8,1/21/2022,5,3,Operational,As needed
Anesthesia Machine,1/21/2022,8,1/21/2022,5,3,Operational,As needed
Anesthesia Machine,1/22/2022,8,1/22/2022,5,3,Operational,As needed
PPE Kit,1/22/2022,9,1/22/2022,6,9,Operational,As needed
Heart Monitor,1/22/2022,8,1/22/2022,5,3,Operational,As needed
Surgical Gloves,1/22/2022,9,1/22/2022,6,8,Operational,As needed
X-Ray Machine,1/22/2022,8,1/22/2022,5,3,Operational,As needed
PPE Kit,1/23/2022,10,1/23/2022,7,5,Operational,As needed
Surgical Gloves,1/23/2022,5,1/23/2022,2,8,Operational,As needed
Heart Monitor,1/23/2022,8,1/23/2022,5,3,Operational,As needed
X-Ray Machine,1/23/2022,8,1/23/2022,5,3,Operational,As needed
Anesthesia Machine,1/23/2022,8,1/23/2022,5,3,Operational,As needed
Anesthesia Machine,1/24/2022,8,1/24/2022,5,3,Operational,As needed
Surgical Gloves,1/24/2022,8,1/24/2022,5,2,Operational,As needed
Heart Monitor,1/24/2022,8,1/24/2022,5,3,Operational,As needed
X-Ray Machine,1/24/2022,8,1/24/2022,5,3,Operational,As needed
PPE Kit,1/24/2022,10,1/24/2022,7,3,Operational,As needed
Heart Monitor,1/25/2022,8,1/25/2022,5,3,Operational,As needed
PPE Kit,1/25/2022,6,1/25/2022,3,7,Operational,As needed
Surgical Gloves,1/25/2022,4,1/25/2022,1,6,Operational,As needed
X-Ray Machine,1/25/2022,8,1/25/2022,5,3,Operational,As needed
Anesthesia Machine,1/25/2022,8,1/25/2022,5,3,Operational,As needed
PPE Kit,1/26/2022,4,1/26/2022,1,6,Operational,As needed
Surgical Gloves,1/26/2022,9,1/26/2022,6,2,Operational,As needed
Heart Monitor,1/26/2022,8,1/26/2022,5,3,Operational,As needed
X-Ray Machine,1/26/2022,8,1/26/2022,5,3,Operational,As needed
Anesthesia Machine,1/26/2022,8,1/26/2022,5,3,Operational,As needed
Anesthesia Machine,1/27/2022,8,1/27/2022,5,3,Operational,As needed
X-Ray Machine,1/27/2022,8,1/27/2022,5,3,Operational,As needed
Surgical Gloves,1/27/2022,7,1/27/2022,4,5,Operational,As needed
PPE Kit,1/27/2022,9,1/27/2022,6,8,Operational,As needed
Heart Monitor,1/27/2022,8,1/27/2022,5,3,Operational,As needed
PPE Kit,1/28/2022,6,1/28/2022,3,7,Operational,As needed
Surgical Gloves,1/28/2022,10,1/28/2022,7,3,Operational,As needed
Heart Monitor,1/28/2022,8,1/28/2022,5,3,Operational,As needed
X-Ray Machine,1/28/2022,8,1/28/2022,5,3,Operational,As needed
Anesthesia Machine,1/28/2022,8,1/28/2022,5,3,Operational,As needed
Anesthesia Machine,1/29/2022,8,1/29/2022,5,3,Operational,As needed
Heart Monitor,1/29/2022,8,1/29/2022,5,3,Operational,As needed
Surgical Gloves,1/29/2022,4,1/29/2022,1,4,Operational,As needed
X-Ray Machine,1/29/2022,8,1/29/2022,5,3,Operational,As needed
PPE Kit,1/29/2022,7,1/29/2022,4,4,Operational,As needed
Heart Monitor,1/30/2022,8,1/30/2022,5,3,Operational,As needed
X-Ray Machine,1/30/2022,8,1/30/2022,5,3,Operational,As needed
Anesthesia Machine,1/30/2022,8,1/30/2022,5,3,Operational,As needed
PPE Kit,1/30/2022,11,1/30/2022,8,3,Operational,As needed
Surgical Gloves,1/30/2022,5,1/30/2022,2,7,Operational,As needed
PPE Kit,1/31/2022,7,1/31/2022,4,9,Operational,As needed
Surgical Gloves,1/31/2022,4,1/31/2022,1,7,Operational,As needed
Heart Monitor,1/31/2022,8,1/31/2022,5,3,Operational,As needed
Anesthesia Machine,1/31/2022,8,1/31/2022,5,3,Operational,As needed
X-Ray Machine,1/31/2022,8,1/31/2022,5,3,Operational,As needed
PPE Kit,02-01-2022,11,02-01-2022,8,7,Operational,As needed
Surgical Gloves,02-01-2022,12,02-01-2022,9,8,Operational,As needed
Heart Monitor,02-01-2022,8,02-01-2022,5,3,Operational,As needed
X-Ray Machine,02-01-2022,8,02-01-2022,5,3,Operational,As needed
Anesthesia Machine,02-01-2022,8,02-01-2022,5,3,Operational,As needed
Anesthesia Machine,02-02-2022,8,02-02-2022,5,3,Operational,As needed
Heart Monitor,02-02-2022,8,02-02-2022,5,3,Operational,As needed
Surgical Gloves,02-02-2022,9,02-02-2022,6,8,Operational,As needed
X-Ray Machine,02-02-2022,8,02-02-2022,5,3,Operational,As needed
PPE Kit,02-02-2022,6,02-02-2022,3,3,Operational,As needed
PPE Kit,02-03-2022,10,02-03-2022,7,9,Operational,As needed
Surgical Gloves,02-03-2022,12,02-03-2022,9,7,Operational,As needed
Heart Monitor,02-03-2022,8,02-03-2022,5,3,Operational,As needed
X-Ray Machine,02-03-2022,8,02-03-2022,5,3,Operational,As needed
Anesthesia Machine,02-03-2022,8,02-03-2022,5,3,Operational,As needed
X-Ray Machine,02-04-2022,8,02-04-2022,5,3,Operational,As needed
Anesthesia Machine,02-04-2022,8,02-04-2022,5,3,Operational,As needed
Surgical Gloves,02-04-2022,11,02-04-2022,8,5,Operational,As needed
Heart Monitor,02-04-2022,8,02-04-2022,5,3,Operational,As needed
PPE Kit,02-04-2022,7,02-04-2022,4,5,Operational,As needed
Heart Monitor,02-05-2022,8,02-05-2022,5,3,Operational,As needed
X-Ray Machine,02-05-2022,8,02-05-2022,5,3,Operational,As needed
Anesthesia Machine,02-05-2022,8,02-05-2022,5,3,Operational,As needed
PPE Kit,02-05-2022,11,02-05-2022,8,3,Operational,As needed
Surgical Gloves,02-05-2022,4,02-05-2022,1,6,Operational,As needed
PPE Kit,02-06-2022,9,02-06-2022,6,5,Operational,As needed
Surgical Gloves,02-06-2022,4,02-06-2022,1,1,Operational,As needed
Heart Monitor,02-06-2022,8,02-06-2022,5,3,Operational,As needed
X-Ray Machine,02-06-2022,8,02-06-2022,5,3,Operational,As needed
Anesthesia Machine,02-06-2022,8,02-06-2022,5,3,Operational,As needed
Anesthesia Machine,02-07-2022,8,02-07-2022,5,3,Operational,As needed
Heart Monitor,02-07-2022,8,02-07-2022,5,3,Operational,As needed
Surgical Gloves,02-07-2022,10,02-07-2022,7,3,Operational,As needed
X-Ray Machine,02-07-2022,8,02-07-2022,5,3,Operational,As needed
PPE Kit,02-07-2022,12,02-07-2022,9,2,Operational,As needed
PPE Kit,02-08-2022,12,02-08-2022,9,3,Operational,As needed
Surgical Gloves,02-08-2022,9,02-08-2022,6,4,Operational,As needed
Heart Monitor,02-08-2022,8,02-08-2022,5,3,Operational,As needed
X-Ray Machine,02-08-2022,8,02-08-2022,5,3,Operational,As needed
Anesthesia Machine,02-08-2022,8,02-08-2022,5,3,Operational,As needed
Anesthesia Machine,02-09-2022,8,02-09-2022,5,3,Operational,As needed
Heart Monitor,02-09-2022,8,02-09-2022,5,3,Operational,As needed
Surgical Gloves,02-09-2022,4,02-09-2022,1,8,Operational,As needed
X-Ray Machine,02-09-2022,8,02-09-2022,5,3,Operational,As needed
PPE Kit,02-09-2022,11,02-09-2022,8,2,Operational,As needed
Anesthesia Machine,02-10-2022,8,02-10-2022,5,3,Operational,As needed
Heart Monitor,02-10-2022,8,02-10-2022,5,3,Operational,As needed
Surgical Gloves,02-10-2022,12,02-10-2022,9,8,Operational,As needed
X-Ray Machine,02-10-2022,8,02-10-2022,5,3,Operational,As needed
PPE Kit,02-10-2022,6,02-10-2022,3,4,Operational,As needed
PPE Kit,02-11-2022,8,02-11-2022,5,6,Operational,As needed
Surgical Gloves,02-11-2022,9,02-11-2022,6,7,Operational,As needed
Heart Monitor,02-11-2022,8,02-11-2022,5,3,Operational,As needed
X-Ray Machine,02-11-2022,8,02-11-2022,5,3,Operational,As needed
Anesthesia Machine,02-11-2022,8,02-11-2022,5,3,Operational,As needed
X-Ray Machine,02-12-2022,8,02-12-2022,5,3,Operational,As needed
Anesthesia Machine,02-12-2022,8,02-12-2022,5,3,Operational,As needed
Surgical Gloves,02-12-2022,4,02-12-2022,1,3,Operational,As needed
Heart Monitor,02-12-2022,8,02-12-2022,5,3,Operational,As needed
PPE Kit,02-12-2022,11,02-12-2022,8,5,Operational,As needed
Anesthesia Machine,2/13/2022,8,2/13/2022,5,3,Operational,As needed
Heart Monitor,2/13/2022,8,2/13/2022,5,3,Operational,As needed
Surgical Gloves,2/13/2022,11,2/13/2022,8,9,Operational,As needed
PPE Kit,2/13/2022,12,2/13/2022,9,9,Operational,As needed
X-Ray Machine,2/13/2022,8,2/13/2022,5,3,Operational,As needed
PPE Kit,2/14/2022,6,2/14/2022,3,5,Operational,As needed
Surgical Gloves,2/14/2022,6,2/14/2022,3,3,Operational,As needed
X-Ray Machine,2/14/2022,8,2/14/2022,5,3,Operational,As needed
Anesthesia Machine,2/14/2022,8,2/14/2022,5,3,Operational,As needed
Heart Monitor,2/14/2022,8,2/14/2022,5,3,Operational,As needed
PPE Kit,2/15/2022,4,2/15/2022,1,9,Operational,As needed
Heart Monitor,2/15/2022,8,2/15/2022,5,3,Operational,As needed
X-Ray Machine,2/15/2022,8,2/15/2022,5,3,Operational,As needed
Anesthesia Machine,2/15/2022,8,2/15/2022,5,3,Operational,As needed
Surgical Gloves,2/15/2022,8,2/15/2022,5,3,Operational,As needed
PPE Kit,2/16/2022,10,2/16/2022,7,8,Operational,As needed
Surgical Gloves,2/16/2022,7,2/16/2022,4,3,Operational,As needed
Heart Monitor,2/16/2022,8,2/16/2022,5,3,Operational,As needed
X-Ray Machine,2/16/2022,8,2/16/2022,5,3,Operational,As needed
Anesthesia Machine,2/16/2022,8,2/16/2022,5,3,Operational,As needed
Anesthesia Machine,2/17/2022,8,2/17/2022,5,3,Operational,As needed
X-Ray Machine,2/17/2022,8,2/17/2022,5,3,Operational,As needed
Heart Monitor,2/17/2022,8,2/17/2022,5,3,Operational,As needed
Surgical Gloves,2/17/2022,9,2/17/2022,6,2,Operational,As needed
PPE Kit,2/17/2022,4,2/17/2022,1,3,Operational,As needed
PPE Kit,2/18/2022,7,2/18/2022,4,8,Operational,As needed
Surgical Gloves,2/18/2022,4,2/18/2022,1,3,Operational,As needed
Heart Monitor,2/18/2022,8,2/18/2022,5,3,Operational,As needed
X-Ray Machine,2/18/2022,8,2/18/2022,5,3,Operational,As needed
Anesthesia Machine,2/18/2022,8,2/18/2022,5,3,Operational,As needed
Heart Monitor,2/19/2022,8,2/19/2022,5,3,Operational,As needed
X-Ray Machine,2/19/2022,8,2/19/2022,5,3,Operational,As needed
Surgical Gloves,2/19/2022,11,2/19/2022,8,8,Operational,As needed
Anesthesia Machine,2/19/2022,8,2/19/2022,5,3,Operational,As needed
PPE Kit,2/19/2022,12,2/19/2022,9,9,Operational,As needed
PPE Kit,2/20/2022,10,2/20/2022,7,3,Operational,As needed
Surgical Gloves,2/20/2022,4,2/20/2022,1,5,Operational,As needed
Heart Monitor,2/20/2022,8,2/20/2022,5,3,Operational,As needed
X-Ray Machine,2/20/2022,8,2/20/2022,5,3,Operational,As needed
Anesthesia Machine,2/20/2022,8,2/20/2022,5,3,Operational,As needed
X-Ray Machine,2/21/2022,8,2/21/2022,5,3,Operational,As needed
Anesthesia Machine,2/21/2022,8,2/21/2022,5,3,Operational,As needed
Surgical Gloves,2/21/2022,11,2/21/2022,8,5,Operational,As needed
Heart Monitor,2/21/2022,8,2/21/2022,5,3,Operational,As needed
PPE Kit,2/21/2022,6,2/21/2022,3,9,Operational,As needed
PPE Kit,2/22/2022,12,2/22/2022,9,7,Operational,As needed
Surgical Gloves,2/22/2022,12,2/22/2022,9,8,Operational,As needed
Heart Monitor,2/22/2022,8,2/22/2022,5,3,Operational,As needed
X-Ray Machine,2/22/2022,8,2/22/2022,5,3,Operational,As needed
Anesthesia Machine,2/22/2022,8,2/22/2022,5,3,Operational,As needed
Surgical Gloves,2/23/2022,9,2/23/2022,6,4,Operational,As needed
Anesthesia Machine,2/23/2022,8,2/23/2022,5,3,Operational,As needed
X-Ray Machine,2/23/2022,8,2/23/2022,5,3,Operational,As needed
PPE Kit,2/23/2022,4,2/23/2022,1,8,Operational,As needed
Heart Monitor,2/23/2022,8,2/23/2022,5,3,Operational,As needed
Heart Monitor,2/24/2022,8,2/24/2022,5,3,Operational,As needed
X-Ray Machine,2/24/2022,8,2/24/2022,5,3,Operational,As needed
Surgical Gloves,2/24/2022,7,2/24/2022,4,2,Operational,As needed
Anesthesia Machine,2/24/2022,8,2/24/2022,5,3,Operational,As needed
PPE Kit,2/24/2022,10,2/24/2022,7,2,Operational,As needed
Heart Monitor,2/25/2022,8,2/25/2022,5,3,Operational,As needed
Surgical Gloves,2/25/2022,6,2/25/2022,3,9,Operational,As needed
X-Ray Machine,2/25/2022,8,2/25/2022,5,3,Operational,As needed
Anesthesia Machine,2/25/2022,8,2/25/2022,5,3,Operational,As needed
PPE Kit,2/25/2022,10,2/25/2022,7,9,Operational,As needed
PPE Kit,2/26/2022,12,2/26/2022,9,3,Operational,As needed
Surgical Gloves,2/26/2022,11,2/26/2022,8,8,Operational,As needed
Heart Monitor,2/26/2022,8,2/26/2022,5,3,Operational,As needed
X-Ray Machine,2/26/2022,8,2/26/2022,5,3,Operational,As needed
Anesthesia Machine,2/26/2022,8,2/26/2022,5,3,Operational,As needed
Anesthesia Machine,2/27/2022,8,2/27/2022,5,3,Operational,As needed
Surgical Gloves,2/27/2022,11,2/27/2022,8,4,Operational,As needed
Heart Monitor,2/27/2022,8,2/27/2022,5,3,Operational,As needed
PPE Kit,2/27/2022,11,2/27/2022,8,4,Operational,As needed
X-Ray Machine,2/27/2022,8,2/27/2022,5,3,Operational,As needed
PPE Kit,2/28/2022,12,2/28/2022,9,5,Operational,As needed
Surgical Gloves,2/28/2022,11,2/28/2022,8,3,Operational,As needed
Heart Monitor,2/28/2022,8,2/28/2022,5,3,Operational,As needed
X-Ray Machine,2/28/2022,8,2/28/2022,5,3,Operational,As needed
Anesthesia Machine,2/28/2022,8,2/28/2022,5,3,Operational,As needed
X-Ray Machine,03-01-2022,8,03-01-2022,5,3,Operational,As needed
Anesthesia Machine,03-01-2022,8,03-01-2022,5,3,Operational,As needed
Surgical Gloves,03-01-2022,5,03-01-2022,2,6,Operational,As needed
Heart Monitor,03-01-2022,8,03-01-2022,5,3,Operational,As needed
PPE Kit,03-01-2022,9,03-01-2022,6,9,Operational,As needed
PPE Kit,03-02-2022,10,03-02-2022,7,4,Operational,As needed
Surgical Gloves,03-02-2022,6,03-02-2022,3,8,Operational,As needed
Heart Monitor,03-02-2022,8,03-02-2022,5,3,Operational,As needed
X-Ray Machine,03-02-2022,8,03-02-2022,5,3,Operational,As needed
Anesthesia Machine,03-02-2022,8,03-02-2022,5,3,Operational,As needed
PPE Kit,03-03-2022,4,03-03-2022,1,8,Operational,As needed
Surgical Gloves,03-03-2022,7,03-03-2022,4,1,Operational,As needed
Heart Monitor,03-03-2022,8,03-03-2022,5,3,Operational,As needed
X-Ray Machine,03-03-2022,8,03-03-2022,5,3,Operational,As needed
Anesthesia Machine,03-03-2022,8,03-03-2022,5,3,Operational,As needed
Anesthesia Machine,03-04-2022,8,03-04-2022,5,3,Operational,As needed
PPE Kit,03-04-2022,11,03-04-2022,8,4,Operational,As needed
Heart Monitor,03-04-2022,8,03-04-2022,5,3,Operational,As needed
Surgical Gloves,03-04-2022,8,03-04-2022,5,4,Operational,As needed
X-Ray Machine,03-04-2022,8,03-04-2022,5,3,Operational,As needed
PPE Kit,03-05-2022,9,03-05-2022,6,3,Operational,As needed
Surgical Gloves,03-05-2022,8,03-05-2022,5,3,Operational,As needed
Heart Monitor,03-05-2022,8,03-05-2022,5,3,Operational,As needed
X-Ray Machine,03-05-2022,8,03-05-2022,5,3,Operational,As needed
Anesthesia Machine,03-05-2022,8,03-05-2022,5,3,Operational,As needed
Anesthesia Machine,03-06-2022,8,03-06-2022,5,3,Operational,As needed
Surgical Gloves,03-06-2022,5,03-06-2022,2,9,Operational,As needed
Heart Monitor,03-06-2022,8,03-06-2022,5,3,Operational,As needed
PPE Kit,03-06-2022,11,03-06-2022,8,2,Operational,As needed
X-Ray Machine,03-06-2022,8,03-06-2022,5,3,Operational,As needed
PPE Kit,03-07-2022,8,03-07-2022,5,5,Operational,As needed
Surgical Gloves,03-07-2022,4,03-07-2022,1,1,Operational,As needed
Heart Monitor,03-07-2022,8,03-07-2022,5,3,Operational,As needed
X-Ray Machine,03-07-2022,8,03-07-2022,5,3,Operational,As needed
Anesthesia Machine,03-07-2022,8,03-07-2022,5,3,Operational,As needed
PPE Kit,03-08-2022,6,03-08-2022,3,7,Operational,As needed
Surgical Gloves,03-08-2022,8,03-08-2022,5,5,Operational,As needed
Heart Monitor,03-08-2022,8,03-08-2022,5,3,Operational,As needed
X-Ray Machine,03-08-2022,8,03-08-2022,5,3,Operational,As needed
Anesthesia Machine,03-08-2022,8,03-08-2022,5,3,Operational,As needed
Anesthesia Machine,03-09-2022,8,03-09-2022,5,3,Operational,As needed
PPE Kit,03-09-2022,12,03-09-2022,9,8,Operational,As needed
Heart Monitor,03-09-2022,8,03-09-2022,5,3,Operational,As needed
Surgical Gloves,03-09-2022,8,03-09-2022,5,3,Operational,As needed
X-Ray Machine,03-09-2022,8,03-09-2022,5,3,Operational,As needed
PPE Kit,03-10-2022,5,03-10-2022,2,2,Operational,As needed
Surgical Gloves,03-10-2022,7,03-10-2022,4,7,Operational,As needed
Heart Monitor,03-10-2022,8,03-10-2022,5,3,Operational,As needed
X-Ray Machine,03-10-2022,8,03-10-2022,5,3,Operational,As needed
Anesthesia Machine,03-10-2022,8,03-10-2022,5,3,Operational,As needed
Anesthesia Machine,03-11-2022,8,03-11-2022,5,3,Operational,As needed
PPE Kit,03-11-2022,6,03-11-2022,3,8,Operational,As needed
Heart Monitor,03-11-2022,8,03-11-2022,5,3,Operational,As needed
Surgical Gloves,03-11-2022,12,03-11-2022,9,5,Operational,As needed
X-Ray Machine,03-11-2022,8,03-11-2022,5,3,Operational,As needed
PPE Kit,03-12-2022,10,03-12-2022,7,4,Operational,As needed
Surgical Gloves,03-12-2022,5,03-12-2022,2,9,Operational,As needed
Heart Monitor,03-12-2022,8,03-12-2022,5,3,Operational,As needed
X-Ray Machine,03-12-2022,8,03-12-2022,5,3,Operational,As needed
Anesthesia Machine,03-12-2022,8,03-12-2022,5,3,Operational,As needed
Anesthesia Machine,3/13/2022,8,3/13/2022,5,3,Operational,As needed
X-Ray Machine,3/13/2022,8,3/13/2022,5,3,Operational,As needed
Surgical Gloves,3/13/2022,9,3/13/2022,6,9,Operational,As needed
PPE Kit,3/13/2022,12,3/13/2022,9,8,Operational,As needed
Heart Monitor,3/13/2022,8,3/13/2022,5,3,Operational,As needed
PPE Kit,3/14/2022,4,3/14/2022,1,8,Operational,As needed
Surgical Gloves,3/14/2022,7,3/14/2022,4,3,Operational,As needed
Heart Monitor,3/14/2022,8,3/14/2022,5,3,Operational,As needed
X-Ray Machine,3/14/2022,8,3/14/2022,5,3,Operational,As needed
Anesthesia Machine,3/14/2022,8,3/14/2022,5,3,Operational,As needed
Anesthesia Machine,3/15/2022,8,3/15/2022,5,3,Operational,As needed
PPE Kit,3/15/2022,11,3/15/2022,8,4,Operational,As needed
Heart Monitor,3/15/2022,8,3/15/2022,5,3,Operational,As needed
X-Ray Machine,3/15/2022,8,3/15/2022,5,3,Operational,As needed
Surgical Gloves,3/15/2022,12,3/15/2022,9,6,Operational,As needed
Heart Monitor,3/16/2022,8,3/16/2022,5,3,Operational,As needed
X-Ray Machine,3/16/2022,8,3/16/2022,5,3,Operational,As needed
Anesthesia Machine,3/16/2022,8,3/16/2022,5,3,Operational,As needed
PPE Kit,3/16/2022,9,3/16/2022,6,3,Operational,As needed
Surgical Gloves,3/16/2022,5,3/16/2022,2,1,Operational,As needed
PPE Kit,3/17/2022,9,3/17/2022,6,3,Operational,As needed
Surgical Gloves,3/17/2022,4,3/17/2022,1,7,Operational,As needed
Heart Monitor,3/17/2022,8,3/17/2022,5,3,Operational,As needed
Anesthesia Machine,3/17/2022,8,3/17/2022,5,3,Operational,As needed
